Date,Close,Open,High,Low,Volume,Change %
8/2/2021,2860.00,2790.30,2874.80,2762.60,18990,2.50%
8/3/2021,2790.30,2702.00,2813.00,2698.00,16860,3.27%
8/4/2021,2702.00,2733.80,2757.80,2640.00,23760,-1.07%
8/5/2021,2731.20,2854.30,2901.60,2615.80,42310,-4.37%
8/6/2021,2856.00,2748.90,2883.50,2694.80,27560,3.89%
8/7/2021,2749.00,2713.70,2756.20,2595.00,34970,1.29%
8/8/2021,2714.10,2784.80,2794.20,2662.60,24250,-2.54%
8/9/2021,2784.80,2664.60,2819.90,2655.50,40540,4.50%
8/10/2021,2664.90,2527.70,2682.20,2511.00,31360,5.51%
8/11/2021,2525.70,2560.90,2612.00,2404.60,34180,-1.37%
8/12/2021,2560.90,2769.70,2790.10,2435.70,56100,-7.54%
8/13/2021,2769.70,2750.10,2812.00,2707.30,20710,0.81%
8/14/2021,2747.50,2845.70,2875.70,2656.20,35180,-3.45%
8/15/2021,2845.70,2659.00,2912.90,2642.80,35250,6.82%
8/16/2021,2664.00,2874.50,2874.50,2615.00,57430,-6.73%
8/17/2021,2856.30,2253.30,2919.90,2253.30,83440,26.77%
8/18/2021,2253.10,2302.20,2399.90,2214.20,35810,-2.13%
8/19/2021,2302.10,2220.00,2380.20,2139.80,44100,3.74%
8/20/2021,2219.00,1925.00,2223.30,1924.10,40480,15.28%
8/21/2021,1924.90,1979.70,2048.80,1835.80,53020,-2.71%
8/22/2021,1978.60,2206.50,2210.10,1975.70,41760,-10.27%
8/23/2021,2205.10,2329.40,2345.60,2138.00,27740,-5.32%
8/24/2021,2329.00,2375.60,2400.00,2293.80,18420,-1.91%
8/25/2021,2374.40,2285.60,2394.00,2195.80,21670,4.04%
8/26/2021,2282.10,2318.30,2372.80,2183.30,33060,-1.56%
8/27/2021,2318.30,2477.90,2498.10,2240.00,28090,-6.44%
8/28/2021,2478.00,2542.00,2555.60,2473.70,7780,-2.52%
8/29/2021,2542.00,2479.30,2542.60,2436.80,9690,2.53%
8/30/2021,2479.30,2593.20,2598.00,2447.00,17680,-4.39%
8/31/2021,2593.10,2598.60,2603.30,2546.00,9830,-0.21%
9/1/2021,2598.50,2579.90,2617.60,2482.50,13540,0.62%
9/2/2021,2582.60,2525.90,2628.00,2512.40,15750,2.32%
9/3/2021,2524.00,2445.10,2584.00,2416.20,16140,3.23%
9/4/2021,2445.00,2346.20,2470.00,2302.00,12030,4.06%
9/5/2021,2349.50,2420.60,2440.90,2291.00,15080,-2.94%
